status,status_fail,response_time_ms,http_status_code,hour,day,is_weekend,rolling_z_score,rt_percentile,rt_rolling_std,fail_diff,rt_diff,rt_drift,is_monolith,service_median_rt,rt_relative
1,0,480.0,200,2,4,0,-0.32342638677345725,0.6737364620938628,171.90927839997468,0.0,-38.0,39.38947368421054,1,358.0,1.3407820854530144
1,0,411.0,200,2,4,0,-0.6487750684778264,0.5983754512635379,178.18192949903758,0.0,-69.0,20.44210526315794,1,358.0,1.1480446606691437
1,0,336.0,200,2,4,0,-0.9436251401027869,0.4598375451263538,190.1178581827599,0.0,-75.0,3.5578947368420586,1,358.0,0.9385474598171101
1,0,383.0,200,2,4,0,-0.5803415377338159,0.5437725631768953,73.4050406988512,0.0,47.0,-93.92631578947362,1,358.0,1.0698323723510512
1,0,371.0,200,2,4,0,-0.4664506808627776,0.5270758122743683,54.024994215640604,0.0,-12.0,-129.69473684210533,1,358.0,1.0363128202147258
1,0,2489.0,200,2,4,0,1.788129935628462,0.9918772563176895,945.6807072157071,0.0,2118.0,156.73684210526312,1,358.0,6.952513772276152
1,0,363.0,200,2,4,0,-0.4474027628377916,0.509927797833935,950.8211188230939,0.0,-2126.0,141.50526315789466,1,358.0,1.0139664521238423
1,0,428.0,200,2,4,0,-0.40267277487136416,0.6195848375451264,940.714196767541,0.0,65.0,150.2210526315789,1,358.0,1.1955306928622713
1,0,403.0,200,2,4,0,-0.43452244297831855,0.5893501805054152,938.5015716555833,0.0,-25.0,166.89999999999998,1,358.0,1.1256982925782602
1,0,386.0,200,2,4,0,-0.456677241037496,0.5550541516245487,936.7666198152024,0.0,-17.0,169.44999999999993,1,358.0,1.0782122603851325
1,0,593.0,200,2,4,0,1.7277405271072723,0.7522563176895307,91.68042321019186,0.0,207.0,-204.0,1,358.0,1.656424534736745
1,0,1302.0,200,2,4,0,1.7481281906543975,0.9467509025270758,388.7586654982753,0.0,709.0,-60.64999999999998,1,358.0,3.6368714067913017
1,0,457.0,200,2,4,0,-0.4442892661684314,0.6583935018050542,385.3345299866078,0.0,-845.0,-13.849999999999909,1,358.0,1.2765362771917241
1,0,375.0,200,2,4,0,-0.6355149309214689,0.5333935018050542,389.60531310545537,0.0,-82.0,-17.549999999999955,1,358.0,1.0474860042601675
1,0,320.0,200,2,4,0,-0.7224367504571207,0.42057761732851984,400.58869180245205,0.0,-55.0,-17.100000000000023,1,358.0,0.893854723635343
1,0,382.0,200,2,4,0,-0.4477223072904954,0.5424187725631769,413.64924755159404,0.0,62.0,-16.649999999999977,1,358.0,1.0670390763396906
1,0,344.0,200,2,4,0,-0.6093507821811255,0.4733754512635379,51.858461218975364,0.0,-38.0,-202.64999999999998,1,358.0,0.9608938279079937
